Datum,N_metingen,Temp_buiten_max,Temp_buiten_gem,Straling_piek,Wind_gem_ms,Windrichting_gem,Temp_Afd1_max,VD_Afd1_max,VD_Afd1_gem,Temp_Afd2_max,VD_Afd2_max,VD_Afd2_gem,Temp_Afd3_max,VD_Afd3_max,VD_Afd3_gem,Temp_Afd4_max,VD_Afd4_gem,VD_Afd4_max,Temp_Afd5_max,VD_Afd5_gem,VD_Afd5_max,Temp_Afd6_max,VD_Afd6_gem,VD_Afd6_max,Markering
2026-03-16,288,10.78,7.44,738.1,3.66,238.24,24.64,14.84,5,23.96,14.68,5.03,24.31,14.42,4.9,25.22,3.17,12.73,25.04,4.29,12.8,25.15,4.08,8.68,
2026-03-17,288,14.7,10.06,375.1,2.14,154.57,26.03,15.86,6.09,25.3,15.26,5.81,25.62,15.25,5.81,25.4,5.77,15.19,24.81,5.26,14.93,24.97,5.17,12.92,
2026-03-18,288,13.27,9.91,775.6,2.74,160.27,28.6,16.87,5.66,28.03,15.99,5.46,28.29,16.18,5.55,27.96,5.2,14.86,26.07,4.31,13.86,26.26,4.24,10.82,
2026-03-19,288,18.27,12.34,755.5,3.29,135.86,29.72,18.26,6.29,29.15,17.78,6.11,29.55,18.17,6.18,28.37,5.77,15.51,25.18,4.61,12.42,25.37,4.43,8.35,
2026-03-20,288,18.89,13.14,796.6,2.35,104.71,29.56,18.37,6.11,29.17,17.59,5.97,29.6,18.12,6.05,27.87,5.3,15.26,26.02,4.77,13.7,26.32,4.62,9.32,
2026-03-21,288,15.66,12.71,485.2,2.82,155.46,28.78,16.03,6.91,28.17,15.5,6.67,28.63,15.86,6.82,27.2,5.66,13.47,24.07,5.54,11.09,24.3,5.2,8.53,
2026-03-22,288,14.78,12.33,337.1,3.08,162.6,27.05,13.86,6.67,26.35,13.35,6.31,26.77,13.59,6.48,26.01,5.07,12.45,23.4,5.23,9.7,23.53,4.91,8.18,
2026-03-23,288,14.39,11.84,380.4,2.98,136.31,27.3,15.05,6.46,26.61,14.4,6.19,27.07,14.65,6.35,26.31,5.25,13.54,23.72,5.09,9.9,23.92,4.84,8.12,
2026-03-24,288,12.96,10.6,498,3.72,212.33,26.74,13.18,5.59,26.04,12.57,5.36,26.58,12.99,5.49,25.98,4.55,11.88,23.14,4.3,8.34,23.35,4.07,7.19,
2026-03-25,288,10.2,8.18,542.4,5.09,267.28,24.59,12.01,5.37,23.97,11.47,5.09,24.45,11.74,5.23,23.79,4.44,10.51,22.16,3.99,7.46,22.27,3.82,7.09,
2026-03-26,288,9.15,7.54,402.5,2.77,280.37,24.05,11.38,4.97,23.34,11.15,4.75,23.81,11.38,4.89,23.15,3.88,10.26,21.17,3.49,7.54,21.3,3.41,7.01,KOEL
2026-03-27,288,9.55,7.85,429.7,2.52,312.13,23.55,11.2,5.04,23,10.94,4.77,23.43,11.1,4.92,22.45,3.89,9.91,21.07,3.56,7.64,21.09,3.39,7.12,KOEL
2026-03-28,288,12.33,8.52,701.3,3.01,270.02,25.13,14.09,5.7,24.47,13.56,5.41,24.89,13.89,5.61,23.75,4.57,12.09,21.65,3.85,8.24,21.76,3.67,7.34,
2026-03-29,275,13.93,9.84,776.4,3.5,270.65,26.93,15.75,6.34,26.35,15.34,6.12,26.69,15.63,6.25,25.3,5.2,13.09,22.56,4.4,9.17,22.67,4.17,8.05,
2026-03-30,288,11.72,9.5,577.6,3.49,256.39,25.35,12.34,5.69,24.7,11.94,5.42,25.17,12.2,5.55,24.28,4.4,10.95,22.36,4.11,8.11,22.47,3.94,7.36,
2026-03-31,288,12.98,9.69,761.2,3.29,246.51,26.47,14.4,5.82,25.9,14.02,5.58,26.28,14.17,5.71,25.32,4.69,12.49,23.21,4.1,8.89,23.39,3.87,7.52,
2026-04-01,288,15.05,11.58,766.8,2.56,186.47,28.08,15.69,6.06,27.39,15.2,5.79,27.83,15.45,5.92,26.54,5.2,13.46,23.99,4.55,10.49,24.17,4.33,8.24,
2026-04-02,288,16.27,12.99,565.7,2.13,133.69,27.73,15.94,6.61,27.15,15.36,6.37,27.54,15.63,6.52,26.64,5.61,14.2,24.19,5.18,11.46,24.4,4.93,9.18,
2026-04-03,288,18.01,13.74,803.7,2.8,143.35,30.11,17.89,6.89,29.39,17.3,6.62,29.79,17.56,6.77,28.28,6.09,15.59,25.13,5.5,12.48,25.39,5.22,9.46,
2026-04-04,288,18.48,14.14,750.2,2.44,150.96,29.66,18.24,7.02,29.1,17.61,6.76,29.51,18.03,6.91,27.93,5.88,16.2,25.15,5.52,12.76,25.41,5.27,9.68,
2026-04-05,288,17.64,14.37,270.6,3.31,202.31,27.1,13.78,6.69,26.47,13.37,6.42,26.86,13.69,6.58,26.18,5.34,12.13,23.73,5.34,10.07,23.92,5.05,8.76,
2026-04-06,288,15.21,12.57,476.1,2.99,199.14,27.71,15.32,6.45,27.02,14.73,6.16,27.47,15.06,6.34,26.34,5.4,13.34,24.01,4.95,10.49,24.18,4.74,8.95,
2026-04-07,288,17.87,13.14,646.9,2.76,167.54,28.8,16.16,6.49,28.19,15.58,6.25,28.56,15.87,6.4,26.94,5.68,14.57,24.91,5.06,11.38,25.16,4.84,9.11,
2026-04-08,288,16.98,13.39,612.4,4.06,209.09,27.56,15.55,6.91,26.94,15.12,6.62,27.31,15.49,6.8,25.9,5.72,13.63,23.85,5.31,10.74,24.02,5.05,9.0,
2026-04-09,288,11.46,9.69,526.2,4.02,248.57,25.72,13.32,5.84,25.12,12.88,5.61,25.54,13.09,5.75,24.58,4.61,11.53,22.48,4.39,8.45,22.61,4.24,7.58,
2026-04-10,288,9.78,8.31,538.7,2.3,202.46,25.3,12.41,5.22,24.65,12.08,5.02,25.01,12.32,5.17,24.37,4.14,10.91,22.3,3.94,7.99,22.45,3.75,7.31,KOEL
2026-04-11,288,11.93,8.45,789.5,2.69,212.48,26.12,14.2,5.57,25.5,13.91,5.36,25.93,14.14,5.52,25.1,4.49,12.69,22.98,3.94,8.73,23.17,3.73,7.52,
2026-04-12,288,14.32,10.32,800.3,2.61,188.66,27.76,15.92,6.01,27.14,15.5,5.78,27.53,15.89,5.92,26.44,4.99,13.97,24.0,4.48,10.11,24.18,4.23,8.03,
2026-04-13,288,16.06,12.12,697.3,2.64,168.93,29.07,17.53,6.53,28.49,17.09,6.29,28.91,17.36,6.42,27.34,5.55,15.31,24.67,4.97,11.68,24.95,4.69,9.1,
2026-04-14,288,18.42,14.31,696.6,3.33,179.16,30.06,18.66,7.33,29.52,18.03,7.08,29.89,18.43,7.23,28.19,6.33,16.46,25.31,5.64,13.1,25.63,5.33,9.86,
2026-04-15,288,18.74,14.7,644.5,2.67,189.84,29.35,18.3,7.15,28.91,17.65,6.89,29.23,18.04,7.05,27.82,6.1,16.31,25.09,5.63,12.97,25.38,5.36,9.8,
2026-04-16,288,16.91,13.61,363.8,2.47,198.6,27.91,15.37,6.91,27.29,14.94,6.63,27.68,15.27,6.79,26.79,5.54,13.98,24.28,5.39,11.07,24.44,5.14,9.31,
2026-04-17,288,15.21,12.81,407.5,2.74,201.4,27.58,15.03,6.53,26.99,14.68,6.25,27.37,15.02,6.41,26.5,5.29,13.47,24.02,5.13,10.75,24.17,4.89,9.0,
2026-04-18,288,15.11,12.32,547.7,2.65,184.86,27.8,15.19,6.38,27.18,14.75,6.09,27.63,15.1,6.25,26.49,5.25,13.64,24.06,4.93,10.75,24.23,4.67,8.75,
2026-04-19,288,17.96,13.97,616.6,2.51,174.71,29.26,16.77,6.8,28.58,16.22,6.51,28.99,16.52,6.67,27.57,5.8,14.99,24.94,5.32,11.97,25.14,5.02,9.46,
2026-04-20,288,17.87,14.42,335.1,3.06,195.45,27.95,15.28,6.95,27.35,14.85,6.67,27.71,15.08,6.82,26.77,5.5,13.87,24.28,5.42,11.27,24.45,5.16,9.4,
2026-04-21,288,18.4,14.97,516.5,2.41,177.2,29.05,17.28,7.29,28.5,16.63,7.01,28.83,17.03,7.17,27.61,6.11,15.73,25.03,5.81,12.84,25.3,5.55,10.1,
2026-04-22,288,18.93,14.85,750.7,2.75,186.09,30.83,18.78,7.3,30.18,18.09,7.02,30.52,18.49,7.18,28.74,6.26,16.91,25.87,5.65,13.74,26.16,5.38,10.29,
2026-04-23,288,18.53,14.54,716.1,2.9,190.42,30.68,18.77,7.1,30.1,18.12,6.84,30.48,18.55,7,28.62,6.11,17.0,25.84,5.47,13.66,26.15,5.21,10.06,
2026-04-24,288,19.02,14.92,696.6,2.78,185.84,30.63,18.97,7.22,30.09,18.29,6.93,30.44,18.74,7.11,28.68,6.24,17.14,25.93,5.65,13.91,26.24,5.39,10.31,
2026-04-25,288,19.49,15.36,661.9,2.55,178.86,30.6,19.12,7.43,30.02,18.4,7.12,30.38,18.87,7.3,28.77,6.43,17.25,26.08,5.85,14.24,26.43,5.57,10.61,
2026-04-26,288,20.59,16.03,628.8,2.62,179.84,30.71,19.86,7.93,30.18,19.1,7.6,30.49,19.52,7.79,28.94,6.77,17.94,26.42,6.22,14.96,26.78,5.93,11.12,
2026-04-27,288,19.31,15.85,377.9,3.22,200.63,28.58,16.33,7.61,28.05,15.79,7.3,28.37,16.1,7.46,27.31,6.16,14.87,25.0,6.19,12.47,25.28,5.88,10.62,
2026-04-28,288,19.95,15.84,704.6,2.23,173.54,30.56,19.1,7.65,30.0,18.31,7.33,30.33,18.77,7.53,28.97,6.55,17.11,26.43,5.97,14.38,26.77,5.69,10.74,
2026-04-29,288,21.69,16.91,722.1,2.42,165.52,31.88,20.55,8.38,31.29,19.76,8.01,31.62,20.22,8.23,29.95,7.23,18.62,27.54,6.63,15.72,27.87,6.28,11.81,
2026-04-30,288,20.59,16.94,578.6,3.31,187.54,30.28,19.03,8.8,29.71,18.31,8.43,30.03,18.72,8.67,28.76,7.42,17.01,26.37,7.02,14.59,26.73,6.67,12.36,
2026-05-01,288,24.57,19.29,594,2.98,172.89,31.69,22.18,9.88,31.18,21.44,9.51,31.52,21.9,9.74,30.51,8.43,19.58,28.25,8.05,17.2,28.56,7.66,14.58,WARM
2026-05-02,288,19.07,15.65,563.1,3.76,211.72,29.53,17.99,7.46,28.93,17.25,7.16,29.28,17.69,7.34,27.95,6.31,15.96,25.7,5.92,13.39,26.01,5.63,10.84,
2026-05-03,274,16.34,13.46,626.9,4.04,221.32,28.36,15.78,6.23,27.78,15.14,5.98,28.13,15.5,6.14,26.56,5.11,14.17,24.1,4.8,10.72,24.35,4.53,8.73,
2026-05-04,288,16.84,13.68,495.3,3.59,214.51,28.12,15.54,6.51,27.52,14.85,6.23,27.88,15.23,6.39,26.47,5.4,14.01,24.24,5.09,10.94,24.46,4.81,9.02,
2026-05-05,288,18.28,14.63,617.3,2.94,189.33,29.28,16.9,7,28.72,16.18,6.7,29.05,16.56,6.86,27.71,5.84,15.42,25.22,5.46,12.57,25.52,5.16,9.86,
2026-05-06,288,16.28,13.54,284.5,3.06,198.44,27.19,14.3,6.77,26.63,13.71,6.47,26.99,14.05,6.64,26.14,5.45,12.87,23.87,5.48,10.52,24.08,5.17,8.92,
2026-05-07,287,17.07,14.03,417.1,3.3,212.96,28.16,15.45,6.99,27.59,14.84,6.68,27.95,15.19,6.85,26.78,5.62,14.02,24.48,5.47,11.23,24.72,5.17,9.32,
2026-05-08,288,18.52,14.97,570.4,2.74,184.98,29.45,17.13,7.46,28.84,16.43,7.14,29.2,16.83,7.32,28.0,6.13,15.7,25.6,5.85,12.96,25.91,5.52,10.12,
2026-05-09,250,20.07,15.44,733.6,2.52,175.78,31.19,19.52,7.35,30.6,18.74,7.01,30.94,19.17,7.21,29.15,6.27,17.53,26.5,5.68,14.23,26.83,5.31,10.16,
2026-05-10,288,22.94,17.96,746.7,2.67,166.56,32.66,21.8,8.47,32.08,20.98,8.1,32.42,21.42,8.33,30.74,7.22,19.65,28.44,6.58,16.67,28.74,6.17,11.91,WARM
2026-05-11,288,22.29,17.93,597.2,2.69,180.21,31.34,20.71,8.51,30.83,19.91,8.12,31.16,20.33,8.34,29.78,7.2,18.63,27.63,6.8,15.91,27.94,6.41,12.01,WARM
2026-05-12,288,24.07,19.04,733.4,2.46,165.23,33.08,22.51,8.93,32.51,21.76,8.53,32.86,22.18,8.77,31.12,7.64,20.21,28.96,7.05,17.56,29.28,6.64,12.66,WARM
2026-05-13,288,23.86,19.7,466.8,2.78,183.44,31.47,20.55,9.58,30.96,19.77,9.17,31.24,20.14,9.38,30.18,8.22,18.7,28.14,7.91,16.5,28.42,7.52,13.68,WARM
2026-05-14,288,18.94,16.01,370.6,3.36,207.57,28.53,16.25,8.28,27.96,15.56,7.91,28.3,15.95,8.12,27.3,6.65,14.64,25.12,6.55,12.36,25.36,6.2,10.71,
2026-05-15,288,16.33,13.89,335.1,3.82,217.12,27.63,14.7,6.8,27.08,14.07,6.49,27.43,14.42,6.67,26.53,5.48,13.26,24.18,5.36,10.65,24.42,5.08,9.03,
2026-05-16,276,16.29,13.42,582.4,3.5,225.69,28.64,15.74,6.45,28.02,15.07,6.15,28.39,15.42,6.32,26.96,5.26,14.07,24.47,4.92,10.97,24.72,4.62,8.89,
2026-05-17,288,17.77,14.56,573.7,3.11,200.25,29.19,16.39,7.06,28.61,15.65,6.74,28.96,16.05,6.93,27.65,5.78,14.98,25.21,5.41,12.32,25.51,5.1,9.63,
2026-05-18,288,18.03,14.94,425,3.74,212.6,28.5,15.99,7.4,27.98,15.24,7.04,28.32,15.64,7.23,27.31,6.05,14.5,25.06,5.84,12.09,25.35,5.52,10.02,
2026-05-19,287,15.44,13.25,272.5,3.83,215.54,26.99,13.82,6.67,26.49,13.21,6.35,26.83,13.56,6.54,26.0,5.3,12.4,23.63,5.31,10.07,23.83,5,8.6,
2026-05-20,288,17.29,14.39,501.4,3.08,185.8,28.9,16.37,7.21,28.35,15.71,6.86,28.69,16.07,7.05,27.44,5.78,14.99,25.08,5.47,12.15,25.38,5.16,9.67,
2026-05-21,287,19.47,16.0,445.3,3.58,194.58,29.48,17.52,8.11,28.91,16.84,7.74,29.24,17.2,7.94,28.05,6.62,16.13,25.8,6.34,13.74,26.07,5.99,11.28,
2026-05-22,288,19.79,16.32,509.9,2.89,181.37,30.02,18.17,8.21,29.45,17.47,7.83,29.8,17.86,8.04,28.51,6.74,16.7,26.28,6.38,14.16,26.59,6.03,11.44,
2026-05-23,288,31.15,25.5,498.9,2.48,151.97,35.36,25.93,13.27,35.12,25.22,12.61,34.71,25.31,12.83,33.18,11.35,23.76,31.25,11.41,19.1,31.2,10.82,18.74,HEET
2026-05-24,288,20.78,17.15,485.8,2.92,197.23,30.16,18.34,8.62,29.56,17.64,8.23,29.92,18.05,8.45,28.69,6.99,16.94,26.49,6.66,14.42,26.82,6.31,11.7,
2026-05-25,244,30.04,24.51,564.8,2.78,159.46,34.67,27.03,12.59,34.27,24.87,11.93,33.81,24.87,12.13,32.4,10.73,23.17,30.7,10.6,18.51,30.68,10.19,18.0,HEET
